LanguageName,URL
掉爆子脑,https://esolangs.org/wiki/%E6%8E%89%E7%88%86%E5%AD%90%E8%84%91
驫鶭,https://esolangs.org/wiki/%E9%A9%AB%E9%B6%AD
哮,https://esolangs.org/wiki/%E5%93%AE
思,https://esolangs.org/wiki/%E6%80%9D
菜就多练,https://esolangs.org/wiki/%E8%8F%9C%E5%B0%B1%E5%A4%9A%E7%BB%83
菜就多练一一,https://esolangs.org/wiki/%E8%8F%9C%E5%B0%B1%E5%A4%9A%E7%BB%83%E4%B8%80%E4%B8%80
元旦,https://esolangs.org/wiki/%E5%85%83%E6%97%A6
锟斤拷烫烫烫fuck,https://esolangs.org/wiki/%E9%94%9F%E6%96%A4%E6%8B%B7%E7%83%AB%E7%83%AB%E7%83%ABfuck
汐撅撅,https://esolangs.org/wiki/%E6%B1%90%E6%92%85%E6%92%85
只因你太美,https://esolangs.org/wiki/%E5%8F%AA%E5%9B%A0%E4%BD%A0%E5%A4%AA%E7%BE%8E
死鱼,https://esolangs.org/wiki/%E6%AD%BB%E9%B1%BC
死鱼……吗？,https://esolangs.org/wiki/%E6%AD%BB%E9%B1%BC%E2%80%A6%E2%80%A6%E5%90%97%EF%BC%9F
退！退！退！,https://esolangs.org/wiki/%E9%80%80%EF%BC%81%E9%80%80%EF%BC%81%E9%80%80%EF%BC%81
欢声笑语,https://esolangs.org/wiki/%E6%AC%A2%E5%A3%B0%E7%AC%91%E8%AF%AD
诗,https://esolangs.org/wiki/%E8%AF%97
诗(PSTF),https://esolangs.org/wiki/%E8%AF%97(PSTF)
勿忘国耻,https://esolangs.org/wiki/%E5%8B%BF%E5%BF%98%E5%9B%BD%E8%80%BB
彳亍,https://esolangs.org/wiki/%E5%BD%B3%E4%BA%8D
한국어,https://esolangs.org/wiki/%ED%95%9C%EA%B5%AD%EC%96%B4
Spoiler肏,https://esolangs.org/wiki/Spoiler%E8%82%8F
这☪他✺妈✾都✣啥☾完♗意♮啊,https://esolangs.org/wiki/%E8%BF%99%E2%98%AA%E4%BB%96%E2%9C%BA%E5%A6%88%E2%9C%BE%E9%83%BD%E2%9C%A3%E5%95%A5%E2%98%BE%E5%AE%8C%E2%99%97%E6%84%8F%E2%99%AE%E5%95%8A
Inuktitut,https://esolangs.org/wiki/Inuktitut
Монгол хэл,https://esolangs.org/wiki/%D0%9C%D0%BE%D0%BD%D0%B3%D0%BE%D0%BB_%D1%85%D1%8D%D0%BB
◀◀SYNTHESIZE▶▶,https://esolangs.org/wiki/%E2%97%80%E2%97%80SYNTHESIZE%E2%96%B6%E2%96%B6
⫸fuck,https://esolangs.org/wiki/%E2%AB%B8fuck
🔴🕳️,https://esolangs.org/wiki/%F0%9F%94%B4%F0%9F%95%B3%EF%B8%8F
🆒,https://esolangs.org/wiki/%F0%9F%86%92
🔒 Encrypted 🔒,https://esolangs.org/wiki/%F0%9F%94%92_Encrypted_%F0%9F%94%92
🥺,https://esolangs.org/wiki/%F0%9F%A5%BA
👀,https://esolangs.org/wiki/%F0%9F%91%80
Left Curly Brace Symbol,https://esolangs.org/wiki/Left_Curly_Brace_Symbol
Собачка,https://esolangs.org/wiki/%D0%A1%D0%BE%D0%B1%D0%B0%D1%87%D0%BA%D0%B0
ᖴᑌᑎᑎEᒪIᑕ,https://esolangs.org/wiki/%E1%96%B4%E1%91%8C%E1%91%8E%E1%91%8EE%E1%92%AAI%E1%91%95
○,https://esolangs.org/wiki/%E2%97%8B
⊗,https://esolangs.org/wiki/%E2%8A%97
Ø,https://esolangs.org/wiki/%C3%98
(...) IS 2D!!,https://esolangs.org/wiki/(...)_IS_2D!!
Λ⁁,https://esolangs.org/wiki/%CE%9B%E2%81%81
Λλλ,https://esolangs.org/wiki/%CE%9B%CE%BB%CE%BB
A,https://esolangs.org/wiki/A
A:;,https://esolangs.org/wiki/A:;
A?!,https://esolangs.org/wiki/A%3F!
A?b.,https://esolangs.org/wiki/A%3Fb.
A Triple Sharp,https://esolangs.org/wiki/A_Triple_Sharp
A0A0,https://esolangs.org/wiki/A0A0
A returns a,https://esolangs.org/wiki/A_returns_a
AAAAAAAAAAAAAA!!!!,https://esolangs.org/wiki/AAAAAAAAAAAAAA!!!!
Aardvark,https://esolangs.org/wiki/Aardvark
Argh!,https://esolangs.org/wiki/Argh!
ABC,https://esolangs.org/wiki/ABC
ABCDE,https://esolangs.org/wiki/ABCDE
ABCDirection,https://esolangs.org/wiki/ABCDirection
ABCDirectionE,https://esolangs.org/wiki/ABCDirectionE
ABCDXYZ,https://esolangs.org/wiki/ABCDXYZ
Abcout,https://esolangs.org/wiki/Abcout
ABCR,https://esolangs.org/wiki/ABCR
ABCs,https://esolangs.org/wiki/ABCs
Abc!?,https://esolangs.org/wiki/Abc!%3F
ABFC (Another BrainFuck Clone),https://esolangs.org/wiki/ABFC_(Another_BrainFuck_Clone)
ABPLWNL,https://esolangs.org/wiki/ABPLWNL
Abstract,https://esolangs.org/wiki/Abstract
Absurd Brainfuck,https://esolangs.org/wiki/Absurd_Brainfuck
Aceto,https://esolangs.org/wiki/Aceto
Acc!!,https://esolangs.org/wiki/Acc!!
ACCUMULATOR,https://esolangs.org/wiki/ACCUMULATOR
ACIDIC,https://esolangs.org/wiki/ACIDIC
ACL,https://esolangs.org/wiki/ACL
ACRONYM,https://esolangs.org/wiki/ACRONYM
